County,Registration Valid Date,Vehicle Name
Washtenaw,11/12/17,Chevrolet Volt
Kent,11/12/17,Tesla Model S
Wayne,11/12/17,Tesla Model X
Kent,11/12/17,Nissan Leaf
Macomb,11/12/17,Chevrolet Volt
Oakland,11/12/17,Chevrolet Volt
Oakland,11/10/17,Chevrolet Bolt EV
Kent,11/10/17,Ford C-Max Energi
Oakland,11/10/17,Chevrolet Bolt EV
Oakland,11/12/17,Tesla Model S
Washtenaw,11/11/17,Ford C-Max Energi
Oakland,11/11/17,Chevrolet Volt
Kent,11/13/17,Chevrolet Volt
Mecosta,11/13/17,Chevrolet Volt
Washtenaw,11/13/17,Porsche Cayenne S E-Hybrid
Oakland,11/13/17,Chevrolet Volt
Oakland,11/13/17,Chevrolet Volt
Zip Code not in Source Sheet,11/13/17,Chevrolet Volt
Washtenaw,11/13/17,Tesla Model X
Livingston,11/13/17,Tesla Model S
Ingham,11/12/17,Chevrolet Volt
Oakland,11/13/17,Chrysler Pacifica
Macomb,11/13/17,Chevrolet Volt
Washtenaw,11/13/17,Chrysler Pacifica
Wayne,11/9/17,Chevrolet Volt
Macomb,11/9/17,Chevrolet Volt
Oakland,11/9/17,Chevrolet Volt
Washtenaw,11/9/17,Chevrolet Volt
Oakland,11/9/17,Ford C-Max Energi
Macomb,11/9/17,Ford C-Max Energi
Jackson,11/9/17,Chevrolet Volt
Oakland,11/9/17,Chevrolet Volt
Ottawa,11/9/17,Chevrolet Volt
Washtenaw,11/9/17,Tesla Model S
Macomb,11/9/17,Chevrolet Volt
Ingham,11/9/17,Ford C-Max Energi
Ingham,11/10/17,Toyota Prius Plug-in
Oakland,11/10/17,BMW i3 REx
Oakland,11/10/17,Volvo XC90 Plug In
Barry,11/10/17,Chevrolet Volt
Genesee,11/10/17,Tesla Model S
Ottawa,11/10/17,Chevrolet Volt
Monroe,11/10/17,Ford Focus EV
Jackson,11/9/17,Tesla Model S
Kent,11/9/17,Chevrolet Volt
Macomb,11/10/17,Chevrolet Volt
Oakland,11/10/17,Tesla Model S
Oakland,11/10/17,Chevrolet Volt
Macomb,11/20/17,Ford Fusion Energi
Oakland,11/20/17,Chevrolet Volt
Wayne,11/20/17,Ford Fusion Energi
Oakland,11/20/17,Chevrolet Volt
Washtenaw,11/20/17,Chevrolet Volt
Washtenaw,11/20/17,Chevrolet Volt
Kent,11/20/17,Ford C-Max Energi
Antrim,11/20/17,Ford Fusion Energi
Mecosta,11/20/17,Ford C-Max Energi
Van Buren,11/20/17,Ford C-Max Energi
Wayne,11/20/17,Ford C-Max Energi
Wayne,11/20/17,Chevrolet Volt
Macomb,11/20/17,Ford C-Max Energi
Ottawa,11/20/17,Ford C-Max Energi
Wayne,11/20/17,Chevrolet Volt
Ingham,11/20/17,GEM NEV
Ottawa,11/20/17,Tesla Model S
Oakland,11/20/17,Ford C-Max Energi
Washtenaw,11/20/17,Chevrolet Volt
Washtenaw,11/20/17,Ford C-Max Energi
Washtenaw,11/20/17,Chevrolet Volt
Monroe,11/20/17,Chevrolet Volt
Oakland,11/20/17,Chevrolet Volt
Lapeer,11/20/17,Chevrolet Volt
Saginaw,11/20/17,Toyota Prius Prime
Ingham,11/20/17,Chevrolet Volt
Macomb,11/19/17,Chevrolet Volt
Oakland,11/20/17,Chevrolet Bolt EV
Isabella,11/20/17,Chevrolet Volt
Clinton,11/20/17,Chevrolet Volt
Genesee,11/19/17,Cadillac ELR
Oakland,11/19/17,Chevrolet Volt
Oakland,11/19/17,Ford C-Max Energi
Oakland,11/19/17,Ford C-Max Energi
Oakland,11/19/17,Chevrolet Volt
Macomb,11/19/17,Chevrolet Volt
Oakland,11/20/17,Ford C-Max Energi
Oakland,11/20/17,Chevrolet Volt
Oakland,11/20/17,Chrysler Pacifica
Wayne,11/20/17,Ford Fusion Energi
Ottawa,11/20/17,Ford Fusion Energi
