County,Registration Valid Date,Vehicle Name
Mecosta,8/17/17,Chevrolet Volt
Macomb,8/18/17,Fisker Karma
Washtenaw,6/6/17,Chevrolet Volt
Oakland,8/17/17,Chrysler Pacifica
Osceola,8/17/17,Chevrolet Volt
Macomb,8/18/17,Chevrolet Volt
Oakland,8/18/17,Tesla Model S
Wayne,6/6/17,Nissan Leaf
Oakland,8/18/17,Chevrolet Volt
Kent,8/18/17,Chevrolet Volt
Midland,8/18/17,Chevrolet Volt
Washtenaw,8/18/17,Ford Fusion Energi
Washtenaw,6/5/17,Chevrolet Volt
Bay,6/6/17,Chevrolet Volt
Oakland,8/18/17,Ford C-Max Energi
Wayne,8/18/17,Ford C-Max Energi
Macomb,8/18/17,Ford Fusion Energi
Kent,8/18/17,Chevrolet Volt
Oakland,8/18/17,Tesla Model S
Oakland,8/18/17,BMW i3
Oakland,8/18/17,Ford Fusion Energi
Oakland,8/18/17,Chevrolet Volt
Washtenaw,8/18/17,Toyota Prius Prime
Oakland,8/18/17,Chevrolet Volt
Tuscola,8/18/17,Chevrolet Volt
Zip Code not in Source Sheet,8/18/17,Ford C-Max Energi
Genesee,8/29/17,Chevrolet Volt
Washtenaw,8/29/17,Ford C-Max Energi
Oakland,5/31/17,Tesla Model S
Wayne,5/31/17,Ford Fusion Energi
Washtenaw,5/31/17,Nissan Leaf
Oakland,5/31/17,Chevrolet Volt
Oakland,8/30/17,Tesla Model X
Kalamazoo,8/30/17,Chevrolet Volt
Allegan,8/30/17,Tesla Model S
Oakland,8/30/17,Toyota Prius Plug-in
Wayne,8/29/17,Chevrolet Volt
Washtenaw,8/29/17,Ford Focus EV
Isabella,8/29/17,Chevrolet Volt
Saginaw,8/29/17,Chevrolet Volt
Oakland,8/29/17,Tesla Model S
Ottawa,8/29/17,Chevrolet Volt
Livingston,5/31/17,Chevrolet Volt
Oakland,8/29/17,BMW X5
Oakland,5/31/17,Tesla Model S
Oakland,5/31/17,Nissan Leaf
Ottawa,8/30/17,Chevrolet Volt
Berrien,5/31/17,Tesla Model S
Wayne,8/30/17,Chevrolet Volt
Washtenaw,8/30/17,Chevrolet Volt
Washtenaw,8/30/17,Ford Focus EV
Wayne,8/30/17,Chevrolet Volt
Wayne,8/30/17,Ford Fusion Energi
Kent,8/30/17,Chrysler Pacifica
Oakland,8/30/17,Tesla Model S
Alpena,8/30/17,Ford C-Max Energi
Oakland,8/30/17,Cadillac ELR
Berrien,8/30/17,Chevrolet Volt
Washtenaw,8/30/17,Ford C-Max Energi
Oakland,8/30/17,Chevrolet Volt
Livingston,8/30/17,Chevrolet Volt
Kent,8/30/17,Ford Fusion Energi
Oakland,8/30/17,Nissan Leaf
Zip Code not in Source Sheet,8/30/17,Toyota Prius Prime
Wayne,8/30/17,Ford C-Max Energi
Washtenaw,5/31/17,BMW X5
Oakland,8/30/17,Ford C-Max Energi
Oakland,8/29/17,Chevrolet Volt
Wayne,6/1/17,Nissan Leaf
Macomb,8/29/17,Ford C-Max Energi
Macomb,8/29/17,Chevrolet Volt
Oakland,8/29/17,Ford Fusion Energi
Kalamazoo,8/29/17,Tesla Model S
Berrien,8/29/17,Tesla Model S
Lapeer,8/29/17,Ford C-Max Energi
Kent,8/29/17,Chevrolet Volt
Oakland,8/29/17,Chevrolet Volt
Wayne,8/29/17,Ford C-Max Energi
Wayne,6/1/17,Ford C-Max Energi
Wayne,8/29/17,Ford C-Max Energi
Oakland,6/1/17,Chevrolet Volt
Oakland,8/29/17,Chevrolet Volt
Macomb,8/29/17,Ford Fusion Energi
Kent,8/29/17,Ford C-Max Energi
Eaton,8/29/17,BMW i3 REx
Charlevoix,8/29/17,Chevrolet Volt
Oakland,6/1/17,Tesla Model S
Oakland,6/1/17,Ford C-Max Energi
Saginaw,8/29/17,Chevrolet Volt
Osceola,8/29/17,Chevrolet Volt
Kent,8/29/17,Chevrolet Volt
Washtenaw,8/29/17,Chevrolet Volt
Kalamazoo,5/31/17,Porsche Cayenne S E-Hybrid
Newaygo,8/29/17,Tesla Model S
Ottawa,5/31/17,GEM NEV
Oakland,8/29/17,Tesla Model S
Oakland,8/29/17,Chevrolet Volt
Oakland,5/31/17,Chevrolet Volt
Wayne,8/29/17,Chevrolet Volt
Wayne,8/29/17,Cadillac ELR
Oakland,8/29/17,Tesla Model S
Kalamazoo,8/29/17,Chevrolet Volt
Wayne,8/29/17,Tesla Model S
Oakland,8/29/17,Nissan Leaf
Kalamazoo,8/29/17,Chevrolet Volt
Oakland,8/29/17,Ford C-Max Energi
Kent,8/29/17,Nissan Leaf
Ingham,8/29/17,Chevrolet Volt
Kalamazoo,8/29/17,Toyota Prius Plug-in
Oakland,8/31/17,Chevrolet Volt
Benzie,8/31/17,Tesla Model S
Wayne,5/30/17,Ford Fusion Energi
Wayne,5/30/17,Audi A3 Plug In
Wayne,8/31/17,Chevrolet Volt
Macomb,8/31/17,Chevrolet Volt
Oakland,5/30/17,Chevrolet Volt
Genesee,5/30/17,Chevrolet Volt
Oakland,8/31/17,Chevrolet Volt
Washtenaw,5/30/17,Nissan Leaf
Wayne,8/31/17,Chevrolet Volt
Oakland,8/31/17,Porsche Cayenne S E-Hybrid
Wayne,5/30/17,Ford Fusion Energi
Washtenaw,8/31/17,Ford C-Max Energi
Allegan,5/30/17,Tesla Model X
Oakland,8/31/17,BMW i3 REx
Wayne,8/31/17,Chevrolet Volt
Oakland,5/30/17,Chevrolet Volt
Wayne,8/31/17,Chevrolet Volt
Eaton,8/31/17,Chevrolet Volt
Wayne,5/30/17,Ford C-Max Energi
Wayne,8/31/17,Chevrolet Volt
Wayne,8/31/17,Ford C-Max Energi
Houghton,8/31/17,Chevrolet Volt
Washtenaw,8/31/17,Tesla Model S
Oakland,8/31/17,Chevrolet Volt
Washtenaw,8/31/17,Ford C-Max Energi
Oakland,5/30/17,Tesla Model S
Alger,8/31/17,Tesla Model S
Macomb,8/31/17,Chevrolet Volt
Oakland,8/31/17,Ford C-Max Energi
Macomb,8/31/17,Chrysler Pacifica
Washtenaw,5/30/17,Chevrolet Volt
Oakland,8/31/17,Tesla Model S
Oakland,5/30/17,Tesla Model S
Wayne,8/31/17,GEM NEV
Kalamazoo,8/31/17,Tesla Model X
Wayne,8/31/17,Ford C-Max Energi
Kent,8/31/17,Chevrolet Volt
Kent,8/31/17,Audi A3 Plug In
Macomb,5/30/17,Chevrolet Volt
Macomb,8/31/17,Ford Focus EV
Kent,8/30/17,Chevrolet Volt
Oakland,5/31/17,Tesla Model S
Wayne,5/31/17,Tesla Model S
Washtenaw,8/30/17,Ford C-Max Energi
Genesee,5/31/17,Chevrolet Volt
Macomb,5/31/17,Chevrolet Volt
Oakland,5/31/17,Chevrolet Volt
Ottawa,5/31/17,Nissan Leaf
Oakland,8/30/17,Tesla Model X
Oakland,8/30/17,Chevrolet Volt
Wayne,8/30/17,Ford C-Max Energi
Oakland,8/30/17,Chevrolet Volt
Wayne,5/31/17,Ford Fusion Energi
Oakland,5/31/17,Ford Fusion Energi
Oakland,8/30/17,Ford Fusion Energi
Wayne,8/30/17,Tesla Model S
Wayne,8/30/17,Ford C-Max Energi
Wayne,8/30/17,Ford Fusion Energi
Oakland,5/31/17,BMW i3 REx
Emmet,8/30/17,Fisker Karma
Oakland,8/30/17,Tesla Model X
Saginaw,8/31/17,Toyota Prius Plug-in
Oakland,8/31/17,Chevrolet Volt
Wayne,5/31/17,Tesla Model X
Washtenaw,8/30/17,Tesla Model S
Macomb,8/31/17,Chevrolet Volt
Washtenaw,8/31/17,Nissan Leaf
Wayne,8/31/17,Chevrolet Volt
Washtenaw,8/31/17,Mitsubishi i
Muskegon,5/30/17,Smart forTwo EV
Midland,8/31/17,Ford C-Max Energi
Kent,8/30/17,Chevrolet Volt
Wayne,8/30/17,Nissan Leaf
Oakland,5/31/17,Chevrolet Volt
Macomb,8/30/17,Tesla Model S
Oakland,5/31/17,Chevrolet Volt
Wayne,5/31/17,Ford Focus EV
Washtenaw,5/31/17,Toyota Prius Plug-in
Wayne,8/30/17,Chevrolet Volt
Oakland,5/31/17,Tesla Model X
Oakland,8/30/17,Ford C-Max Energi
Oakland,8/25/17,Chevrolet Volt
Hillsdale,8/25/17,Chevrolet Volt
Leelanau,8/25/17,Chevrolet Volt
Washtenaw,8/25/17,Chevrolet Volt
Wayne,8/25/17,GEM NEV
Macomb,8/25/17,Ford Fusion Energi
Macomb,8/25/17,Chevrolet Volt
Oakland,8/25/17,Chevrolet Volt
Bay,8/25/17,Chevrolet Volt
Ingham,8/25/17,Ford C-Max Energi
Ottawa,6/2/17,Tesla Model S
Wayne,8/25/17,Chevrolet Volt
Wayne,8/25/17,Ford C-Max Energi
Kalamazoo,8/25/17,Chevrolet Bolt EV
Ottawa,8/25/17,Ford C-Max Energi
Kent,8/25/17,Nissan Leaf
Oakland,6/2/17,Chevrolet Volt
Antrim,6/2/17,Chevrolet Volt
Wayne,6/2/17,Ford C-Max Energi
Oakland,6/2/17,Tesla Model S
Oakland,8/25/17,Ford C-Max Energi
Macomb,8/26/17,Chevrolet Volt
Oakland,8/26/17,Chevrolet Volt
Calhoun,8/25/17,Cadillac ELR
Oakland,8/25/17,Chevrolet Volt
Wayne,6/2/17,Ford C-Max Energi
Oakland,6/2/17,Chevrolet Volt
Saginaw,8/26/17,Chevrolet Volt
Genesee,8/26/17,Chevrolet Volt
Oakland,8/26/17,Chevrolet Volt
Wayne,6/2/17,Ford C-Max Energi
Oakland,8/25/17,Chevrolet Volt
Kent,8/25/17,Chevrolet Volt
Barry,6/2/17,Ford Fusion Energi
Midland,6/2/17,Chevrolet Volt
Van Buren,6/2/17,Tesla Model S
Oakland,8/25/17,Chevrolet Volt
Oakland,8/25/17,Chevrolet Volt
Ottawa,8/25/17,Chevrolet Volt
Wayne,8/25/17,Ford C-Max Energi
Oakland,6/2/17,Tesla Model S
Kalamazoo,8/25/17,Chevrolet Volt
Macomb,8/24/17,Ford C-Max Energi
Midland,8/24/17,Chevrolet Volt
Kalamazoo,8/24/17,Chevrolet Volt
St. Clair,6/2/17,Tesla Model S
Ottawa,8/24/17,Chevrolet Volt
St. Clair,6/2/17,Chevrolet Volt
Berrien,6/2/17,Chevrolet Volt
Wayne,6/2/17,Chevrolet Volt
Kent,8/24/17,Ford Fusion Energi
Oakland,8/24/17,Chevrolet Volt
Oakland,8/24/17,Chevrolet Volt
Oakland,8/24/17,Chevrolet Volt
Oakland,8/24/17,Chevrolet Volt
Kalamazoo,8/24/17,Chevrolet Volt
Oakland,8/24/17,Ford C-Max Energi
Oakland,8/24/17,Chevrolet Volt
Ottawa,8/24/17,Chevrolet Volt
Muskegon,8/24/17,Chevrolet Volt
Wayne,8/24/17,Cadillac ELR
Kalamazoo,6/2/17,Chevrolet Volt
Genesee,8/24/17,Chevrolet Volt
Wayne,6/2/17,Ford C-Max Energi
Washtenaw,8/25/17,Chevrolet Volt
Washtenaw,8/25/17,Ford C-Max Energi
Mecosta,6/2/17,Chevrolet Volt
Lenawee,8/25/17,Chevrolet Volt
Macomb,6/2/17,Ford Focus EV
Kent,8/25/17,Nissan Leaf
Oakland,8/25/17,Ford C-Max Energi
Midland,8/25/17,Chevrolet Volt
Wayne,6/2/17,Ford Fusion Energi
Oakland,8/24/17,Chevrolet Bolt EV
Antrim,8/24/17,Ford Fusion Energi
Grand Traverse,8/24/17,Chrysler Pacifica
Wayne,8/24/17,Nissan Leaf
Oakland,6/2/17,Ford C-Max Energi
Clinton,6/2/17,Ford C-Max Energi
Roscommon,8/25/17,Chevrolet Volt
Leelanau,8/25/17,Mini Countryman Plug In
Macomb,6/2/17,Chevrolet Volt
Wayne,8/24/17,Nissan Leaf
Midland,8/28/17,Tesla Model X
Oakland,6/1/17,Chevrolet Volt
Oakland,6/1/17,Chevrolet Volt
Eaton,8/28/17,Chevrolet Volt
Oakland,6/1/17,Ford Fusion Energi
Macomb,6/1/17,Ford C-Max Energi
Wayne,8/28/17,BMW i3 REx
Ingham,8/28/17,Chevrolet Volt
Wayne,8/28/17,Chevrolet Volt
Kalamazoo,8/28/17,Chevrolet Volt
Oakland,8/28/17,Ford C-Max Energi
Genesee,6/1/17,Chevrolet Volt
Ottawa,8/28/17,Chevrolet Volt
Oakland,8/28/17,Ford Fusion Energi
Cass,6/1/17,Tesla Model S
Wayne,6/1/17,Ford C-Max Energi
Oakland,6/1/17,Ford C-Max Energi
Mackinac,8/28/17,Ford C-Max Energi
Wayne,8/28/17,Chevrolet Volt
Washtenaw,8/28/17,Chevrolet Volt
Washtenaw,8/28/17,Chevrolet Volt
Oakland,8/29/17,Chevrolet Volt
Oakland,8/29/17,Nissan Leaf
Macomb,8/29/17,Ford C-Max Energi
Livingston,8/28/17,Chevrolet Volt
Oakland,8/29/17,Tesla Model S
Oakland,6/1/17,Chevrolet Volt
Oakland,8/29/17,Chevrolet Volt
Oakland,8/29/17,Chevrolet Volt
Ingham,8/29/17,Mitsubishi i
Shiawassee,6/1/17,Chevrolet Volt
Ionia,8/28/17,Chevrolet Volt
Wayne,6/1/17,Chevrolet Volt
Macomb,8/28/17,Ford C-Max Energi
Shiawassee,8/28/17,Ford Fusion Energi
Dickinson,8/28/17,Ford C-Max Energi
Kent,6/1/17,Chevrolet Volt
Genesee,6/1/17,Chevrolet Volt
Kent,8/28/17,Chevrolet Volt
Oakland,8/28/17,Fiat 500e
Bay,6/1/17,Chevrolet Volt
Ingham,8/28/17,Chevrolet Volt
Wayne,8/26/17,Tesla Model S
Kent,8/26/17,Tesla Model S
Oakland,6/1/17,Chevrolet Volt
Oakland,6/1/17,Ford C-Max Energi
Oakland,6/1/17,Chevrolet Volt
Oakland,8/27/17,Ford Fusion Energi
Ingham,8/27/17,Chevrolet Volt
Oakland,8/27/17,Chevrolet Volt
Livingston,8/27/17,Chevrolet Volt
Livingston,8/27/17,Chevrolet Volt
Ingham,8/26/17,Chevrolet Volt
Macomb,8/26/17,Chevrolet Volt
Livingston,8/26/17,Chevrolet Volt
Zip Code not in Source Sheet,6/2/17,GEM NEV
Wexford,8/26/17,Chevrolet Volt
Oakland,8/26/17,Ford Focus EV
Oakland,8/26/17,Chevrolet Volt
Washtenaw,8/26/17,Chevrolet Volt
Oakland,8/26/17,Chevrolet Volt
Wayne,6/1/17,Tesla Model S
Washtenaw,8/27/17,BMW i3
Washtenaw,8/28/17,Ford C-Max Energi
Genesee,8/28/17,Ford C-Max Energi
Ingham,8/28/17,Toyota Prius Prime
Ingham,8/28/17,Chevrolet Volt
Ingham,6/1/17,Toyota Prius Prime
Kent,6/1/17,Ford C-Max Energi
Wayne,6/1/17,Ford C-Max Energi
Washtenaw,8/28/17,Tesla Model S
Iosco,8/28/17,Chevrolet Volt
Wayne,8/28/17,Chevrolet Volt
Midland,8/28/17,Tesla Model S
Oakland,6/1/17,Chevrolet Volt
Jackson,6/1/17,Nissan Leaf
Oakland,6/1/17,Ford C-Max Energi
Oakland,8/27/17,Chevrolet Volt
Kent,8/28/17,Chevrolet Volt
Oakland,8/28/17,Chevrolet Volt
Wayne,8/28/17,Chevrolet Volt
Van Buren,6/1/17,Nissan Leaf
Monroe,6/1/17,Ford C-Max Energi
Genesee,8/7/17,Chevrolet Volt
Calhoun,8/7/17,Chevrolet Volt
Oakland,8/7/17,Ford C-Max Energi
Oakland,8/7/17,Chevrolet Volt
Barry,8/7/17,Chevrolet Volt
Wayne,8/11/17,Chevrolet Volt
St. Joseph,8/7/17,GEM NEV
Macomb,8/7/17,Ford Focus EV
Macomb,8/11/17,Ford C-Max Energi
Wayne,6/10/17,Chevrolet Volt
Washtenaw,8/11/17,Ford C-Max Energi
Oakland,8/7/17,Chevrolet Volt
Shiawassee,8/7/17,Chevrolet Volt
Oakland,6/8/17,Chevrolet Volt
Wayne,8/7/17,Chevrolet Volt
Eaton,8/7/17,Chevrolet Volt
Wayne,8/11/17,Ford C-Max Energi
Clinton,8/8/17,Chevrolet Volt
Clinton,8/7/17,Chevrolet Volt
Wayne,8/7/17,Ford C-Max Energi
Grand Traverse,6/10/17,Ford Fusion Energi
Livingston,6/10/17,Chevrolet Volt
Wayne,8/11/17,Ford Fusion Energi
Kent,6/10/17,Tesla Model S
Lenawee,6/8/17,Chevrolet Volt
Oakland,8/7/17,Chevrolet Volt
Oakland,8/7/17,Cadillac ELR
Oakland,6/8/17,BMW i8
Washtenaw,8/11/17,Ford C-Max Energi
Kent,8/11/17,Chevrolet Volt
Wayne,6/8/17,Chevrolet Volt
Wayne,8/7/17,Ford Fusion Energi
Oakland,8/7/17,Tesla Model S
Kalamazoo,8/10/17,Toyota Prius Plug-in
Oakland,6/8/17,Ford Fusion Energi
Leelanau,8/10/17,Tesla Model S
Oakland,8/7/17,Ford C-Max Energi
Washtenaw,8/10/17,Ford C-Max Energi
Wayne,6/8/17,Chevrolet Volt
Kalamazoo,6/10/17,Toyota Prius Plug-in
Wayne,8/10/17,Chevrolet Volt
Mecosta,6/8/17,Nissan Leaf
Eaton,8/10/17,Chevrolet Volt
Allegan,8/7/17,Toyota Prius Plug-in
Oakland,8/10/17,Kia Soul EV
Kent,8/7/17,Chevrolet Volt
Genesee,8/7/17,Chevrolet Volt
Oakland,8/10/17,Chevrolet Volt
Macomb,8/7/17,Ford C-Max Energi
Saginaw,8/11/17,Chevrolet Volt
Wayne,8/7/17,Chevrolet Volt
Kalamazoo,8/11/17,Chevrolet Volt
Wayne,8/11/17,Nissan Leaf
Livingston,8/7/17,Chevrolet Volt
Kent,8/11/17,Chevrolet Volt
Wayne,8/11/17,Ford C-Max Energi
Macomb,8/7/17,Ford Fusion Energi
Kent,8/10/17,Chevrolet Volt
Ingham,6/10/17,Chevrolet Volt
Calhoun,8/10/17,Tesla Model S
Ottawa,8/10/17,Chevrolet Volt
Oakland,8/10/17,BMW i3 REx
Saginaw,8/11/17,Chevrolet Volt
Livingston,8/10/17,Chevrolet Volt
Oakland,8/7/17,Ford C-Max Energi
Genesee,8/11/17,Chevrolet Volt
Ottawa,8/12/17,Ford Fusion Energi
Oakland,6/8/17,Fisker Karma
Shiawassee,8/12/17,Chevrolet Volt
Oakland,8/12/17,Chevrolet Volt
Eaton,8/12/17,Chevrolet Volt
Oakland,8/12/17,Ford Fusion Energi
Oakland,8/7/17,Tesla Model S
Oakland,8/12/17,Ford Fusion Energi
Oakland,8/7/17,Chrysler Pacifica
Iosco,8/7/17,Chevrolet Volt
Cass,8/11/17,Nissan Leaf
Allegan,6/11/17,Mitsubishi i
Oakland,8/12/17,Ford C-Max Energi
Macomb,6/8/17,BMW i8
Lapeer,8/11/17,Chevrolet Volt
Midland,8/12/17,Chevrolet Volt
St. Joseph,6/8/17,Ford C-Max Energi
Oakland,8/13/17,Ford C-Max Energi
Wayne,8/13/17,Chevrolet Volt
Allegan,8/13/17,Chevrolet Volt
Macomb,8/13/17,Tesla Model S
Genesee,8/6/17,Cadillac ELR
Oakland,8/6/17,Tesla Model S
Oakland,8/13/17,Ford C-Max Energi
Macomb,6/8/17,Ford C-Max Energi
Washtenaw,8/13/17,Chevrolet Volt
Wayne,8/6/17,Chevrolet Volt
Wayne,8/6/17,Ford Fusion Energi
Macomb,6/8/17,Ford C-Max Energi
Oakland,8/6/17,Ford Fusion Energi
Macomb,6/8/17,Tesla Model S
Ingham,8/6/17,Chevrolet Volt
Oakland,8/11/17,Toyota Prius Plug-in
Ottawa,8/7/17,Chevrolet Volt
Mecosta,8/11/17,Chevrolet Volt
Charlevoix,8/7/17,Tesla Model S
Oakland,8/11/17,Chevrolet Volt
Eaton,8/7/17,Chevrolet Volt
Oakland,6/8/17,Chevrolet Volt
Oakland,8/11/17,Ford C-Max Energi
Oakland,8/11/17,Ford Fusion Energi
Kent,8/7/17,Nissan Leaf
Washtenaw,6/11/17,Ford Fusion Energi
Lapeer,8/11/17,Chevrolet Volt
Calhoun,8/11/17,Chevrolet Volt
Kalamazoo,8/7/17,Tesla Model X
Oakland,6/8/17,Fisker Karma
Oakland,8/11/17,Chevrolet Volt
Wayne,8/11/17,BMW 3-Series Plug in
Oakland,8/11/17,Chevrolet Volt
Oakland,8/11/17,Chevrolet Volt
Washtenaw,8/7/17,Ford C-Max Energi
Kent,8/11/17,Tesla Model S
Genesee,8/11/17,Chevrolet Volt
Presque Isle,8/11/17,Chevrolet Volt
Midland,8/11/17,Nissan Leaf
Oakland,8/11/17,Nissan Leaf
Midland,6/8/17,Chevrolet Volt
Wayne,8/7/17,Cadillac ELR
Oakland,8/11/17,Ford Fusion Energi
Berrien,8/11/17,Chevrolet Volt
Oakland,6/8/17,Ford C-Max Energi
Oakland,8/11/17,Chevrolet Volt
Oakland,8/11/17,Tesla Model X
Ottawa,6/8/17,Tesla Model S
Wayne,8/8/17,Tesla Model S
Kent,6/9/17,Ford Fusion Energi
Genesee,8/9/17,Chevrolet Volt
Allegan,8/9/17,Chevrolet Volt
Saginaw,8/9/17,Fisker Karma
Wayne,6/9/17,Chevrolet Volt
Macomb,6/9/17,Tesla Model S
Kent,8/9/17,Chevrolet Volt
Oakland,8/8/17,Ford C-Max Energi
Lenawee,8/9/17,Chevrolet Volt
Kent,8/9/17,Chevrolet Volt
Calhoun,8/9/17,Chevrolet Volt
Keweenaw,8/8/17,Nissan Leaf
St. Joseph,8/8/17,Chevrolet Volt
Wayne,8/8/17,Ford Fusion Energi
Shiawassee,6/9/17,BMW i3
St. Joseph,8/9/17,Tesla Model S
Washtenaw,6/9/17,BMW i8
Oakland,6/9/17,Ford C-Max Energi
Genesee,8/8/17,Ford Fusion Energi
Washtenaw,6/9/17,Chevrolet Volt
Washtenaw,8/8/17,Tesla Model S
Oakland,8/8/17,Chevrolet Volt
Ottawa,8/8/17,Tesla Model S
Oakland,6/9/17,Chevrolet Volt
Washtenaw,8/9/17,Ford C-Max Energi
Cass,8/9/17,Chevrolet Volt
Oakland,8/9/17,Chevrolet Volt
Wayne,8/9/17,Ford C-Max Energi
Oakland,8/8/17,BMW i3 REx
Van Buren,8/8/17,Nissan Leaf
Kent,6/9/17,Ford C-Max Energi
Genesee,8/9/17,Chevrolet Volt
Oakland,8/9/17,Ford C-Max Energi
Oakland,8/8/17,Tesla Model S
Washtenaw,8/9/17,Tesla Model S
Oakland,8/9/17,Chevrolet Volt
Oakland,8/8/17,Chevrolet Volt
Oakland,8/8/17,Chevrolet Volt
Otsego,8/9/17,Chevrolet Volt
Livingston,8/9/17,Nissan Leaf
Wayne,6/9/17,Chevrolet Volt
Washtenaw,8/8/17,BMW i3
Shiawassee,8/8/17,Chevrolet Volt
Ionia,6/9/17,Toyota Prius Prime
Kent,8/8/17,Chevrolet Volt
Oakland,8/8/17,Tesla Model X
Macomb,8/8/17,Chevrolet Volt
Oakland,8/8/17,Tesla Model S
Macomb,6/9/17,Chevrolet Volt
Oakland,8/9/17,Ford C-Max Energi
Macomb,8/9/17,Tesla Model S
Macomb,6/9/17,Chevrolet Volt
Wayne,6/9/17,Ford Fusion Energi
Wayne,8/9/17,Ford C-Max Energi
Ottawa,8/9/17,Fisker Karma
Roscommon,8/8/17,Chevrolet Volt
Washtenaw,6/9/17,Ford C-Max Energi
Livingston,8/8/17,Chevrolet Volt
Wayne,6/9/17,Cadillac ELR
Kent,8/8/17,Chevrolet Volt
Washtenaw,8/9/17,Chevrolet Bolt EV
Tuscola,6/9/17,Chevrolet Volt
Oakland,8/9/17,Ford Fusion Energi
Emmet,8/9/17,Toyota Prius Plug-in
Missaukee,6/9/17,Chevrolet Volt
Calhoun,8/10/17,Ford Fusion Energi
Eaton,6/9/17,Ford C-Max Energi
Oakland,8/10/17,Ford C-Max Energi
Kent,8/10/17,Ford Fusion Energi
Berrien,8/10/17,Chevrolet Volt
Oakland,6/8/17,Chevrolet Volt
Grand Traverse,6/8/17,Chevrolet Volt
Genesee,6/8/17,Toyota Prius Plug-in
Saginaw,8/10/17,GEM NEV
Kalamazoo,6/10/17,Chevrolet Volt
Oakland,8/8/17,Ford C-Max Energi
Ingham,8/10/17,Chevrolet Volt
Washtenaw,8/10/17,Nissan Leaf
Genesee,6/10/17,Chevrolet Volt
Wayne,8/8/17,Ford C-Max Energi
Oakland,8/10/17,GEM NEV
Oakland,6/10/17,Nissan Leaf
Saginaw,8/10/17,Chevrolet Volt
Oakland,6/8/17,Chevrolet Volt
Lapeer,8/8/17,Chevrolet Bolt EV
Ingham,6/8/17,Chevrolet Volt
Oakland,8/10/17,Ford C-Max Energi
Kalamazoo,8/10/17,Chevrolet Volt
Oakland,8/10/17,Chevrolet Volt
Wayne,8/8/17,Chevrolet Volt
Macomb,6/10/17,Chevrolet Volt
Oakland,8/10/17,Chrysler Pacifica
Oakland,8/10/17,Chevrolet Volt
Ottawa,6/10/17,Chevrolet Volt
Oakland,8/10/17,Chevrolet Volt
Washtenaw,8/10/17,Nissan Leaf
Oakland,8/10/17,Chevrolet Volt
Wayne,8/8/17,Ford C-Max Energi
Wayne,6/9/17,Chevrolet Volt
Oakland,6/9/17,Chevrolet Volt
Oakland,8/9/17,Ford Fusion Energi
Oakland,6/9/17,Chevrolet Volt
Kent,6/9/17,Ford Fusion Energi
Wayne,8/8/17,Ford C-Max Energi
Oakland,6/9/17,Chevrolet Volt
Wayne,8/8/17,Ford C-Max Energi
Bay,6/9/17,Chevrolet Volt
Oakland,8/9/17,Chevrolet Volt
Washtenaw,6/9/17,Chevrolet Volt
Oakland,6/9/17,GEM NEV
Oakland,6/9/17,Chevrolet Volt
Washtenaw,8/9/17,Nissan Leaf
Kalamazoo,8/9/17,Fiat 500e
Eaton,6/9/17,Chevrolet Volt
Eaton,8/10/17,Chevrolet Volt
Macomb,8/10/17,Chevrolet Volt
Wayne,8/9/17,Ford Fusion Energi
Macomb,8/10/17,Ford C-Max Energi
Lapeer,8/8/17,GEM NEV
Wayne,6/9/17,Chevrolet Volt
Midland,6/9/17,Chevrolet Bolt EV
Mecosta,8/8/17,GEM NEV
Oakland,6/9/17,Ford C-Max Energi
Wayne,8/8/17,Cadillac ELR
Jackson,6/9/17,Chevrolet Volt
Antrim,8/9/17,Chevrolet Volt
Oakland,8/8/17,Chevrolet Volt
Clinton,8/9/17,Ford Focus EV
Wayne,8/8/17,Chevrolet Volt
Oakland,6/9/17,Ford C-Max Energi
Wayne,8/14/17,Chevrolet Volt
Wayne,6/7/17,Ford C-Max Energi
Oakland,8/14/17,Chevrolet Volt
Washtenaw,8/14/17,Chevrolet Volt
Kent,8/15/17,Ford C-Max Energi
Oakland,8/15/17,Tesla Model S
Barry,8/14/17,Chevrolet Volt
Oakland,6/7/17,Chevrolet Bolt EV
Oakland,8/14/17,Mitsubishi i
Wayne,6/7/17,Ford C-Max Energi
Oakland,8/15/17,Chevrolet Volt
Calhoun,8/5/17,Toyota Prius Plug-in
Zip Code not in Source Sheet,8/15/17,Ford C-Max Energi
Oakland,6/7/17,Chrysler Pacifica
Ingham,8/14/17,Chevrolet Volt
Livingston,6/7/17,Chevrolet Volt
Livingston,8/5/17,Tesla Model S
Charlevoix,8/15/17,GEM NEV
Wayne,6/7/17,Ford Fusion Energi
Oakland,6/7/17,GEM NEV
Wayne,8/14/17,Ford Fusion Energi
Oakland,8/5/17,Cadillac ELR
Oakland,6/7/17,Tesla Model S
Delta,8/15/17,Chevrolet Volt
Livingston,8/15/17,Chevrolet Volt
Zip Code not in Source Sheet,8/14/17,Chevrolet Volt
Oakland,8/14/17,BMW X5
Macomb,8/15/17,Chevrolet Volt
Macomb,8/14/17,Chevrolet Volt
Oakland,8/14/17,Chevrolet Volt
Oakland,8/14/17,Chevrolet Volt
Wayne,6/7/17,Chevrolet Volt
Macomb,8/14/17,Chevrolet Volt
Wayne,8/14/17,Ford Fusion Energi
Wayne,8/14/17,Chevrolet Volt
Oakland,6/7/17,Chevrolet Volt
