"statecode_of_county","county","income_yr_2021","income_yr_2020","income_yr_2019","vehicle_cnt","station_cnt"
"MI","Alcona",504199,472386,423798,9,1
"MI","Alger",371990,348761,313149,8,1
"MI","Allegan",6455677,6078318,5515414,560,28
"MI","Antrim",1327789,1254882,1147418,64,6
"MI","Baraga",343158,321997,284775,3,1
"MI","Barry",3335488,3125860,2860986,118,3
"MI","Bay",5190073,4913457,4499337,229,11
"MI","Benzie",996503,939555,842421,54,8
"MI","Berrien",9133397,8367859,7676620,503,23
"MI","Branch",2038966,1854414,1666460,68,2
"MI","Calhoun",6395035,6007726,5439319,250,27
"MI","Cass",2885207,2632037,2375575,86,3
"MI","Charlevoix",1630498,1538697,1406829,106,6
"MI","Cheboygan",1238104,1170361,1039542,38,4
"MI","Chippewa",1580974,1484819,1325672,15,6
"MI","Clare",1264660,1201768,1075801,27,5
"MI","Clinton",4346107,4103681,3799306,296,10
"MI","Crawford",582504,554667,493898,7,3
"MI","Delta",1713278,1628560,1476267,50,2
"MI","Dickinson",1426912,1319528,1217380,32,1
"MI","Eaton",5528137,5235057,4792459,418,10
"MI","Emmet",2287109,2167134,1987382,148,17
"MI","Genesee",19967292,18810409,17132439,1034,15
"MI","Gladwin",1123085,1056286,974210,44,1
"MI","Gogebic",699451,665209,607456,4,2
"MI","Grand Traverse",5788755,5476112,4986132,223,11
"MI","Gratiot",1796738,1699515,1520186,43,4
"MI","Hillsdale",1929549,1803582,1636469,93,2
"MI","Houghton",1634636,1516256,1391960,48,3
"MI","Huron",1743057,1634970,1426483,36,4
"MI","Ingham",14090337,13278123,12062817,1407,42
"MI","Ionia",2744939,2567224,2297203,95,3
"MI","Iosco",1190266,1110398,993026,50,5
"MI","Iron",577713,550883,511511,2,1
"MI","Isabella",2959189,2810494,2539951,117,11
"MI","Jackson",7602801,7073091,6418551,529,15
"MI","Kalamazoo",15281103,14377431,13301075,1163,52
"MI","Kalkaska",784051,744630,655090,15,5
"MI","Kent",40701778,38630987,35774431,2349,81
"MI","Keweenaw",125562,116269,103299,5,1
"MI","Lake",479871,459012,407750,5,1
"MI","Lapeer",4605655,4363115,3957230,241,1
"MI","Leelanau",1774944,1675187,1565577,194,17
"MI","Lenawee",4643933,4376511,4030272,228,1
"MI","Livingston",12848055,12150450,11480491,1121,10
"MI","Mackinac",580523,546624,483084,27,4
"MI","Macomb",47572705,45600016,41724363,2823,34
"MI","Manistee",1178490,1112164,1009801,38,8
"MI","Marquette",3164369,2962462,2704665,46,5
"MI","Mason",1431915,1347559,1218047,33,9
"MI","Mecosta",1768433,1648543,1481612,86,5
"MI","Midland",5178900,4886998,4586226,384,9
"MI","Monroe",8308581,7812877,7361611,409,8
"MI","Montcalm",2728570,2548481,2289007,74,5
"MI","Montmorency",402849,396159,352154,6,2
"MI","Muskegon",8243256,7763881,6954757,273,18
"MI","Newaygo",2243075,2108464,1890261,67,2
"MI","Oakland",102822763,98014193,92591351,13961,161
"MI","Oceana",1233901,1167855,1043946,28,3
"MI","Ogemaw",886678,826297,726096,13,3
"MI","Osceola",1043586,991952,895959,20,2
"MI","Oscoda",331851,309754,286058,12,1
"MI","Otsego",1247262,1171352,1034860,28,7
"MI","Ottawa",16775381,15880229,14613150,946,33
"MI","Presque Isle",617174,582599,519010,12,6
"MI","Roscommon",1052099,1001044,894190,40,5
"MI","Saginaw",9341904,8811841,8022129,381,18
"MI","Sanilac",1909618,1792358,1571613,33,6
