"income_yr_2019","income_yr_2020","income_yr_2021","stations_count"
13987759,15159300,17192028,33
8767799,9459762,10432880,3
31047512,32705125,35234656,85
23903991,24926650,27518782,62
7504448,7971565,8719140,8
1484543,1595609,1736661,1
665230,719613,766918,7
25561613,26979379,29893649,74
1306456,1411382,1584264,4
5302083,5683496,6302522,16
786998,853426,924107,2
1531468,1656075,1774968,4
690901,724325,812388,2
3173064,3474255,3859257,1
4348146,4785051,5227586,14
6341973,6848429,7333502,19
449903,482385,520642,1
2143885,2321041,2570890,5
2651059,2898506,3124655,4
2020614,2181557,2390475,5
370792,409046,452386,3
4806032,5257991,5732800,7
2458926,2687077,2903343,2
14084543,15182188,16175526,46
325770,341422,359114,22
14132753,15158260,16541457,24
4563346,4906676,5234983,23
8391504,9649947,10712179,13
256275,272961,285473,2
46043119,48351944,51847811,136
8175784,8766766,9297756,11
7315838,7903768,8655649,11
773497,827902,913456,4
570723,610572,662490,2
1272834,1376802,1538711,7
40482319,43637126,46873308,175
3177308,3495027,3781886,7
5360682,5933887,6529415,21
685203,737736,804785,2
1019842,1092645,1191785,3
7756011,8177281,8826304,28
3835433,4082846,4425204,5
16417867,17438478,19082627,11
812565,825979,942276,2
100631917,102439388,108742651,621
1158444,1222135,1356320,3
4107022,4405048,4690351,36
2087886,2218130,2462296,2
1159814,1204957,1317064,4
41046926,44733872,48474386,93
1605553,1705396,1838382,6
9530371,10164280,11181330,14
9461267,10492330,11516595,24
6954044,7478848,8162858,9
3224679,3521299,3939079,14
267960,300340,318662,1
1104119,1178847,1269588,1
1816671,1989662,2156902,6
1433463,1559678,1684230,4
2305938,2512138,2738339,4
4479124,4855320,5193983,12
1326040,1420439,1537121,7
810142,883965,938042,1
454160,490713,525970,6
1302150,1396158,1513626,3
1017000,1086060,1193881,3
8663377,9343010,10093944,23
3914606,4336251,4851345,5
2892867,3031609,3287101,1
1133208,1217718,1345266,2
1731940,1847266,2016242,1
6758339,7407675,8233935,6
1065387,1155913,1240139,1
1619850,1720748,1884874,1
721721,778115,836637,1
796625,851792,947412,1
1430499,1552644,1721500,1
999821,1097560,1197423,1
732036,798944,864303,8
7864426,8469998,8932178,9
3312742,3684464,4049438,3
2394832,2639704,2926749,3
967460,1042660,1123536,2
1093731,1175904,1262982,3
717497,743896,821026,2
259265,269587,304398,1
2026650,2204765,2399791,1
1562039,1712413,1850936,9
952562,1064753,1132280,2
499414,549231,591469,1
2612736,2908405,3168123,5
287053,310504,342948,1
964524,1043267,1127078,2
2379009,2552509,2791391,2
4109003,4440817,4898980,10
715989,778112,832306,2
975614,1043949,1154339,2
1138359,1227380,1333906,9
4233075,4580583,4889878,4
8713255,9448614,10152965,54
58640919,60909073,63968618,247
3721267,3924186,4120992,27
26618909,29369195,32051963,48
3396127,3713376,4010978,4
2926472,3113613,3336537,8
2036973,2264367,2468022,4
6180767,6859065,7474953,8
459235,502794,555198,2
8107680,9079717,10206025,11
303843,335486,339479,1
1103324,1190991,1202324,2
1065483,1127892,1207394,2
586642,652577,706892,1
7995798,8823814,9781680,9
1752561,1895743,2043996,1
349996,385539,415666,1
1163373,1281931,1381959,1
851720,950372,993973,1
1862035,2031959,2164847,2
478287,551123,618445,2
515125,559627,657073,1
3582533,3920695,4208749,2
595675,654584,708697,2
379315,426409,448112,1
3109458,3346751,3588936,6
2572236,2708185,2896954,2
1383872,1521385,1685880,1
639320,716498,784528,1
9648664,10445737,11252306,24
2130250,2305654,2506403,5
338219346,355540408,380521307,610
1455469,1588922,1740738,15
4420577,4742184,5178429,32
984490,1082272,1194897,1
71163738,74399875,79076011,148
1750822,1928826,2107742,4
779388,863009,957213,1
1315611,1425313,1540187,1
3080239,3146276,3488752,4
2271433,2470297,2677529,2
1204960,1359381,1507275,1
2122134,2275765,2441297,4
396793,448874,496719,1
1508789,1642423,1772216,3
1053254,1150869,1237973,10
28279772,30032737,32397823,44
4715509,5130821,5667456,7
6657210,7135888,7936698,17
1967827,2184076,2364124,2
57204830,59297448,63318407,74
4938503,5299505,5778701,14
1628381,1859174,2040429,3
1067497,1175636,1317701,2
1124485,1204387,1294751,2
17650311,18504846,19948728,19
8574798,9432566,9997479,45
4968610,5369381,5792317,2
12890515,13764962,14689344,25
1595653,1751702,1873492,2
2378214,2520816,2729363,4
9170638,9847148,10306476,10
878100,962956,1070596,1
637703,717568,794876,1
123287,138630,149023,1
6394624,6924640,7349695,8
12033233,12938764,13806226,5
9738357,10399553,11139859,10
1934906,2070777,2236948,4
6397480,6818971,7142436,7
682224,772284,867984,1
2456509,2686152,2894725,1
38115278,40232325,43419326,68
1428077,1533301,1697688,1
18130068,19541434,21249580,32
4438762,4726875,5042172,2
5408324,5710141,6208351,4
752654,798747,860720,2
1516904,1652149,1797526,1
5442227,5865131,6368512,7
1461541,1630970,1770304,1
1196769,1304907,1405293,9
1985006,2108794,2251612,2
4349369,4690081,5070606,2
2392217,2541364,2654479,5
