"statecode_of_county","county","per_capita_income_2021","ev_count"
"NJ","Mercer",77911,19468
"NJ","Middlesex",70221,33207
"NJ","Monmouth",92119,25564
"NJ","Morris",107767,24022
"NJ","Ocean",60823,12198
"NJ","Passaic",59559,8704
"NJ","Salem",57547,881
"NJ","Somerset",113975,21387
"NJ","Sussex",71059,3896
"NJ","Union",77007,15045
"NJ","Warren",63041,2185
"NY","Albany",70947,28262
"NY","Allegany",42569,1084
"NY","Bronx",46834,9632
"NY","Broome",50657,9142
"NY","Cattaraugus",46775,1100
"NY","Cayuga",51431,2074
"NY","Chautauqua",47642,3907
"NY","Chemung",52360,3099
"NY","Chenango",50568,1186
"NY","Clinton",50625,3786
"NY","Columbia",65426,4517
"NY","Cortland",48617,2133
"NY","Delaware",48644,1533
"NY","Dutchess",67256,21375
"NY","Erie",57625,44550
"NY","Essex",54109,2320
"NY","Franklin",48658,1376
"NY","Fulton",51558,1696
"NY","Genesee",50662,1784
"NY","Greene",55805,2572
"NY","Hamilton",54556,476
"NY","Herkimer",51946,1071
"NY","Jefferson",53130,3368
"NY","Kings",61851,40926
"NY","Lewis",54629,430
"NY","Livingston",52209,2063
"NY","Madison",54766,3738
"NY","Monroe",60046,58852
"NY","Montgomery",48821,1714
"NY","Nassau",99597,131775
"NY","New York",195543,64006
"NY","Niagara",53137,8944
"NY","Oneida",53172,8544
"NY","Onondaga",60992,24218
"NY","Ontario",62051,7539
"NY","Orange",58883,17884
"NY","Orleans",46322,1260
"NY","Oswego",48574,3190
"NY","Otsego",53431,2474
"NY","Putnam",78754,7398
"NY","Queens",58646,70302
"NY","Rensselaer",58126,9183
"NY","Richmond",65113,18853
"NY","Rockland",69173,21547
"NY","St. Lawrence",45626,3040
"NY","Saratoga",75651,19428
"NY","Schenectady",62484,11484
"NY","Schoharie",52027,1312
"NY","Schuyler",49811,841
"NY","Seneca",47269,999
"NY","Steuben",54238,3588
"NY","Suffolk",81309,182362
"NY","Sullivan",53874,2799
"NY","Tioga",53919,1725
"NY","Tompkins",51377,14026
"NY","Ulster",60557,16795
"NY","Warren",62392,4358
"NY","Washington",49202,2996
"NY","Wayne",53499,4552
"NY","Westchester",119705,108544
"NY","Wyoming",49062,679
"NY","Yates",48934,923
"TX","Anderson",42444,589
"TX","Andrews",52943,306
"TX","Angelina",46170,1089
"TX","Aransas",59878,597
"TX","Archer",60101,671
"TX","Atascosa",46737,810
"TX","Austin",58284,591
"TX","Bailey",51709,38
"TX","Bandera",58706,778
"TX","Bastrop",44230,4219
"TX","Baylor",58779,37
"TX","Bee",34738,428
"TX","Bell",49405,10649
"TX","Bexar",51780,76605
"TX","Blanco",66088,500
"TX","Borden",101470,23
"TX","Bosque",50943,327
"TX","Bowie",47792,1160
"TX","Brazoria",56360,12142
"TX","Brazos",46702,5912
"TX","Brewster",53014,189
"TX","Briscoe",58862,20
"TX","Brooks",43437,44
"TX","Brown",46028,291
"TX","Burleson",57482,267
"TX","Burnet",59381,1729
"TX","Caldwell",41642,1988
"TX","Calhoun",60589,172
"TX","Callahan",50963,172
"TX","Cameron",37861,6790
"TX","Camp",46705,132
"TX","Carson",56357,166
"TX","Cass",46101,287
"TX","Castro",81900,72
"TX","Chambers",60591,854
"TX","Cherokee",43376,982
"TX","Childress",39953,43
"TX","Clay",51938,142
"TX","Cochran",62305,4
"TX","Coke",48804,3
"TX","Coleman",54822,49
"TX","Collin",77006,70504
"TX","Collingsworth",54140,27
"TX","Colorado",59219,413
"TX","Comal",67063,7332
"TX","Comanche",50112,126
"TX","Concho",38635,7
"TX","Cooke",59800,880
"TX","Coryell",37476,1958
"TX","Crockett",57013,77
"TX","Crosby",52897,7
"TX","Culberson",71297,52
"TX","Dallam",70511,111
"TX","Dallas",72218,115883
"TX","Dawson",46139,91
"TX","Deaf Smith",60615,147
"TX","Delta",47471,152
"TX","Denton",68773,51154
"TX","DeWitt",66916,226
"TX","Dickens",50869,38
"TX","Dimmit",55771,2
"TX","Donley",50574,20
"TX","Duval",51887,101
"TX","Eastland",66400,177
"TX","Ector",53610,1405
"TX","Edwards",73981,67
"TX","Ellis",53393,6655
"TX","El Paso",44064,20790
"TX","Erath",46906,677
"TX","Falls",43658,126
"TX","Fannin",46449,524
"TX","Fayette",65339,379
"TX","Fisher",57245,6
"TX","Floyd",53292,70
"TX","Foard",61279,8
"TX","Fort Bend",65797,28316
"TX","Franklin",51926,218
"TX","Freestone",44014,219
"TX","Frio",39898,134
"TX","Gaines",50616,124
"TX","Galveston",60071,11246
"TX","Gillespie",78039,1099
"TX","Gonzales",57578,314
"TX","Gray",49815,141
"TX","Grayson",52055,4618
"TX","Gregg",52958,2745
"TX","Grimes",41914,756
"TX","Guadalupe",52190,7328
"TX","Hale",43543,305
"TX","Hamilton",77672,197
"TX","Hansford",77093,39
"TX","Hardeman",54847,61
"TX","Hardin",52544,695
"TX","Harris",65869,153938
"TX","Harrison",47928,1240
"TX","Haskell",54321,17
"TX","Hays",56097,15006
"TX","Hemphill",75731,26
"TX","Henderson",48594,1508
"TX","Hidalgo",34503,11444
"TX","Hill",49968,763
"TX","Hockley",52586,944
"TX","Hood",60912,2546
"TX","Hopkins",50272,615
"TX","Houston",48835,175
"TX","Howard",51007,354
"TX","Hudspeth",42500,3
"TX","Hunt",46801,2011
"TX","Hutchinson",50130,197
"TX","Jack",45263,63
"TX","Jackson",51971,68
"TX","Jasper",49475,316
"TX","Jeff Davis",59302,86
"TX","Jefferson",48243,3593
"TX","Jim Hogg",43336,20
"TX","Jim Wells",50892,203
"TX","Johnson",51619,5209
"TX","Jones",38914,485
"TX","Karnes",73144,188
"TX","Kaufman",49494,4148
"TX","Kendall",96628,4718
"TX","Kerr",61401,1648
"TX","Kimble",54345,37
"TX","King",91930,2
"TX","Kinney",42929,32
"TX","Kleberg",45818,1498
"TX","Knox",50320,67
"TX","Lamar",50699,732
"TX","Lamb",54689,68
"TX","Lampasas",58507,522
"TX","La Salle",52652,27
"TX","Lavaca",62375,271
"TX","Lee",56674,221
"TX","Leon",53179,209
"TX","Liberty",42813,889
"TX","Limestone",47439,280
"TX","Lipscomb",102569,31
"TX","Live Oak",46134,183
"TX","Llano",59689,934
"TX","Lubbock",50881,5601
"TX","Lynn",58496,89
"TX","McCulloch",45744,43
"TX","McLennan",49512,6793
"TX","Madison",40859,123
"TX","Marion",47582,140
"TX","Martin",84121,631
"TX","Mason",57094,72
"TX","Matagorda",50775,364
"TX","Maverick",38448,552
"TX","Medina",50076,1371
"TX","Menard",47390,35
"TX","Midland",126738,2660
"TX","Milam",45286,410
"TX","Mills",51712,84
"TX","Mitchell",35417,17
"TX","Montague",45716,229
"TX","Montgomery",68974,25017
"TX","Moore",56634,119
"TX","Morris",47226,146
"TX","Nacogdoches",46246,828
"TX","Navarro",45616,690
"TX","Newton",43123,62
"TX","Nolan",52629,128
"TX","Nueces",52852,6268
"TX","Ochiltree",64247,70
"TX","Oldham",72126,23
"TX","Orange",48912,914
"TX","Palo Pinto",52042,429
"TX","Panola",53292,176
"TX","Parker",65358,5943
"TX","Parmer",63512,41
"TX","Pecos",43661,87
"TX","Polk",47994,565
"TX","Potter",55764,1311
"TX","Presidio",61776,69
"TX","Rains",41563,264
"TX","Randall",56381,3824
"TX","Real",55449,53
"TX","Red River",53818,142
"TX","Reeves",52811,56
