"statecode_of_county","county","income_yr_2021","income_yr_2020","income_yr_2019","ev_count"
"MI","Chippewa",1580974,1484819,1325672,15
"MI","Clare",1264660,1201768,1075801,27
"MI","Clinton",4346107,4103681,3799306,296
"MI","Crawford",582504,554667,493898,7
"MI","Delta",1713278,1628560,1476267,50
"MI","Dickinson",1426912,1319528,1217380,32
"MI","Eaton",5528137,5235057,4792459,418
"MI","Emmet",2287109,2167134,1987382,148
"MI","Genesee",19967292,18810409,17132439,1034
"MI","Gladwin",1123085,1056286,974210,44
"MI","Gogebic",699451,665209,607456,4
"MI","Grand Traverse",5788755,5476112,4986132,223
"MI","Gratiot",1796738,1699515,1520186,43
"MI","Hillsdale",1929549,1803582,1636469,93
"MI","Houghton",1634636,1516256,1391960,48
"MI","Huron",1743057,1634970,1426483,36
"MI","Ingham",14090337,13278123,12062817,1407
"MI","Ionia",2744939,2567224,2297203,95
"MI","Iosco",1190266,1110398,993026,50
"MI","Iron",577713,550883,511511,2
"MI","Isabella",2959189,2810494,2539951,117
"MI","Jackson",7602801,7073091,6418551,529
"MI","Kalamazoo",15281103,14377431,13301075,1163
"MI","Kalkaska",784051,744630,655090,15
"MI","Kent",40701778,38630987,35774431,2349
"MI","Keweenaw",125562,116269,103299,5
"MI","Lake",479871,459012,407750,5
"MI","Lapeer",4605655,4363115,3957230,241
"MI","Leelanau",1774944,1675187,1565577,194
"MI","Lenawee",4643933,4376511,4030272,228
"MI","Livingston",12848055,12150450,11480491,1121
"MI","Luce",231080,221648,197571,5
"MI","Mackinac",580523,546624,483084,27
"MI","Macomb",47572705,45600016,41724363,2823
"MI","Manistee",1178490,1112164,1009801,38
"MI","Marquette",3164369,2962462,2704665,46
"MI","Mason",1431915,1347559,1218047,33
"MI","Mecosta",1768433,1648543,1481612,86
"MI","Menominee",1138683,1072817,986789,16
"MI","Midland",5178900,4886998,4586226,384
"MI","Missaukee",659801,625104,551502,12
"MI","Monroe",8308581,7812877,7361611,409
"MI","Montcalm",2728570,2548481,2289007,74
"MI","Montmorency",402849,396159,352154,6
"MI","Muskegon",8243256,7763881,6954757,273
"MI","Newaygo",2243075,2108464,1890261,67
"MI","Oakland",102822763,98014193,92591351,13961
"MI","Oceana",1233901,1167855,1043946,28
"MI","Ogemaw",886678,826297,726096,13
"MI","Osceola",1043586,991952,895959,20
"MI","Oscoda",331851,309754,286058,12
"MI","Otsego",1247262,1171352,1034860,28
"MI","Ottawa",16775381,15880229,14613150,946
"MI","Presque Isle",617174,582599,519010,12
"MI","Roscommon",1052099,1001044,894190,40
"MI","Saginaw",9341904,8811841,8022129,381
"MI","St. Clair",8451582,8075798,7328543,263
"MI","St. Joseph",2806988,2641428,2355597,89
"MI","Sanilac",1909618,1792358,1571613,33
"MI","Schoolcraft",394297,375021,333666,4
"MI","Shiawassee",3225843,3046259,2770941,245
"MI","Tuscola",2376387,2245744,1998221,49
"MI","Van Buren",3689815,3459023,3162185,224
"MI","Washtenaw",25372530,24022427,22920571,4326
"MI","Wayne",89823224,85095541,77687754,5657
"MI","Wexford",1515262,1412278,1273021,47
